terms      sum_up           sum_down         rel_diff      
 5618944   1.54036827e+01   1.61191750e+01   4.53951396e-02
 5665600   1.54036827e+01   1.61276722e+01   4.59218770e-02
 5712256   1.54036827e+01   1.61353912e+01   4.64001261e-02
 5758912   1.54036827e+01   1.61427517e+01   4.68559451e-02
 5805568   1.54036827e+01   1.61497040e+01   4.72862870e-02
 5852224   1.54036827e+01   1.61571274e+01   4.77455854e-02
 5898880   1.54036827e+01   1.61645927e+01   4.82072607e-02
 5945536   1.54036827e+01   1.61722527e+01   4.86807413e-02
 5992192   1.54036827e+01   1.61809883e+01   4.92204353e-02
 6038848   1.54036827e+01   1.61900444e+01   4.97796088e-02
 6085504   1.54036827e+01   1.61995316e+01   5.03650568e-02
 6132160   1.54036827e+01   1.62087440e+01   5.09332195e-02
 6178816   1.54036827e+01   1.62168198e+01   5.14310002e-02
 6225472   1.54036827e+01   1.62241306e+01   5.18814176e-02
 6272128   1.54036827e+01   1.62315102e+01   5.23358546e-02
 6318784   1.54036827e+01   1.62391739e+01   5.28075695e-02
 6365440   1.54036827e+01   1.62467690e+01   5.32748327e-02
 6412096   1.54036827e+01   1.62542515e+01   5.37349507e-02
 6458752   1.54036827e+01   1.62623138e+01   5.42304814e-02
 6505408   1.54036827e+01   1.62709732e+01   5.47624268e-02
 6552064   1.54036827e+01   1.62788143e+01   5.52438535e-02
 6598720   1.54036827e+01   1.62863255e+01   5.57047985e-02
 6645376   1.54036827e+01   1.62930794e+01   5.61190881e-02
 6692032   1.54036827e+01   1.62988548e+01   5.64732142e-02
 6738688   1.54036827e+01   1.63045578e+01   5.68227731e-02
 6785344   1.54036827e+01   1.63105049e+01   5.71871623e-02
 6832000   1.54036827e+01   1.63166275e+01   5.75621612e-02
 6878656   1.54036827e+01   1.63227386e+01   5.79363145e-02
 6925312   1.54036827e+01   1.63287621e+01   5.83049543e-02
 6971968   1.54036827e+01   1.63339233e+01   5.86207174e-02
 7018624   1.54036827e+01   1.63387756e+01   5.89174852e-02
 7065280   1.54036827e+01   1.63437519e+01   5.92217408e-02
 7111936   1.54036827e+01   1.63497772e+01   5.95900118e-02
 7158592   1.54036827e+01   1.63558807e+01   5.99629171e-02
 7205248   1.54036827e+01   1.63619747e+01   6.03350960e-02
 7251904   1.54036827e+01   1.63678608e+01   6.06944449e-02
 7298560   1.54036827e+01   1.63734322e+01   6.10344559e-02
 7345216   1.54036827e+01   1.63789749e+01   6.13726042e-02
 7391872   1.54036827e+01   1.63850975e+01   6.17459863e-02
 7438528   1.54036827e+01   1.63920593e+01   6.21703751e-02
 7485184   1.54036827e+01   1.63990135e+01   6.25941157e-02
 7531840   1.54036827e+01   1.64063148e+01   6.30388036e-02
 7578496   1.54036827e+01   1.64140091e+01   6.35072067e-02
 7625152   1.54036827e+01   1.64216461e+01   6.39718994e-02
 7671808   1.54036827e+01   1.64293919e+01   6.44429848e-02
 7718464   1.54036827e+01   1.64371681e+01   6.49156943e-02
 7765120   1.54036827e+01   1.64446373e+01   6.53695166e-02
 7811776   1.54036827e+01   1.64523087e+01   6.58354014e-02
 7858432   1.54036827e+01   1.64594727e+01   6.62702695e-02
 7905088   1.54036827e+01   1.64647331e+01   6.65894672e-02
 7951744   1.54036827e+01   1.64694061e+01   6.68729320e-02
 7998400   1.54036827e+01   1.64740677e+01   6.71556145e-02
 8045056   1.54036827e+01   1.64783554e+01   6.74155578e-02
 8091712   1.54036827e+01   1.64826870e+01   6.76780865e-02
 8138368   1.54036827e+01   1.64870396e+01   6.79418221e-02
 8185024   1.54036827e+01   1.64912853e+01   6.81990087e-02
 8231680   1.54036827e+01   1.64955902e+01   6.84597120e-02
 8278336   1.54036827e+01   1.65003281e+01   6.87465519e-02
 8324992   1.54036827e+01   1.65052242e+01   6.90428838e-02
 8371648   1.54036827e+01   1.65117092e+01   6.94352463e-02
 8418304   1.54036827e+01   1.65184669e+01   6.98439330e-02
 8464960   1.54036827e+01   1.65252419e+01   7.02534840e-02
 8511616   1.54036827e+01   1.65319519e+01   7.06589520e-02
 8558272   1.54036827e+01   1.65385780e+01   7.10591748e-02
 8604928   1.54036827e+01   1.65459137e+01   7.15020597e-02
 8651584   1.54036827e+01   1.65534019e+01   7.19539523e-02
 8698240   1.54036827e+01   1.65607033e+01   7.23943561e-02
