# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
21.600000  3.986452e-02  3.986452e-02  3.986452e-02  1.740619e-16  4.351547e-16  2.610928e-16
21.700000  3.694967e-02  3.694967e-02  3.694967e-02  1.877931e-16  7.511726e-16  5.633794e-16
21.800000  3.377986e-02  3.377986e-02  3.377986e-02  5.135378e-16  5.135378e-16  0.000000e+00
21.900000  3.038075e-02  3.038075e-02  3.038075e-02  1.141989e-15  8.564914e-16  2.854971e-16
22.000000  2.677964e-02  2.677964e-02  2.677964e-02  1.042921e-14  1.055876e-14  1.295554e-16
22.100000  2.300527e-02  2.300527e-02  2.300527e-02  4.524329e-16  1.508110e-16  6.032438e-16
22.200000  1.908759e-02  1.908759e-02  1.908759e-02  2.726468e-16  1.817645e-16  4.544113e-16
22.300000  1.505755e-02  1.505755e-02  1.505755e-02  2.592139e-15  1.728093e-15  8.640465e-16
22.400000  1.094684e-02  1.094684e-02  1.094684e-02  5.546379e-16  1.030042e-15  1.584680e-15
22.500000  6.787645e-03  6.787645e-03  6.787645e-03  3.322420e-15  4.216917e-15  8.944976e-16
22.600000  2.612412e-03  2.612412e-03  2.612412e-03  8.300393e-16  8.300393e-17  7.470354e-16
22.700000 -1.546416e-03 -1.546416e-03 -1.546416e-03  2.734315e-15  1.661622e-14  1.388191e-14
22.800000 -5.656648e-03 -5.656648e-03 -5.656648e-03  4.600048e-16  0.000000e+00  4.600048e-16
22.900000 -9.686598e-03 -9.686598e-03 -9.686598e-03  1.701307e-15  2.865358e-15  1.164052e-15
23.000000 -1.360533e-02 -1.360533e-02 -1.360533e-02  1.275032e-16  2.550065e-16  1.275032e-16
23.100000 -1.738289e-02 -1.738289e-02 -1.738289e-02  2.993846e-16  9.979487e-17  3.991795e-16
23.200000 -2.099057e-02 -2.099057e-02 -2.099057e-02  1.652860e-16  6.611438e-16  4.958579e-16
23.300000 -2.440109e-02 -2.440109e-02 -2.440109e-02  7.109204e-17  1.421841e-16  7.109204e-17
23.400000 -2.758885e-02 -2.758885e-02 -2.758885e-02  6.287771e-17  5.030217e-16  4.401439e-16
23.500000 -3.053008e-02 -3.053008e-02 -3.053008e-02  2.272806e-16  7.954819e-16  5.682014e-16
